,pcstrip,Year,PracticeListSize,HBT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
631,ML39AQ,2018,7409.25,S08000023,271048.0,655866.0,S01012792,S02002397,2.0,S99999999,S12000029,-16.0,6.637527621265079,0.08685661198740284,5.713113479498098,5.775342016609804,0.8977981809486021,4.405162740504174,0.5580983328178167,0.000570502727003035,0.23240752249907345,18.361356006859882,0.23370569151041112,-0.774364389944544,-0.9057028348591165,-0.9000840560656522,-0.9270293823771073,-0.5829936394203931,-0.03413433993615465,-0.15988271260516496,1.7859116063882996,-1.0900468273627626,0.15115179934719492
632,ML39TZ,2018,11153.75,S08000023,270028.0,655045.0,S01012781,S02002396,2.0,S99999999,S12000029,-112.0,6.480432756180253,0.1785835487595913,5.628626065588661,5.659648560131373,0.7612069514443155,4.520093062580481,0.7797124035177769,0.0,0.3189852930321411,18.37967728261379,0.11437116856100135,-0.07003719520259873,-0.9580448777295154,-0.9713826409953856,-1.3915326486819781,-0.45934992078867015,0.6806263338966778,-0.16048307229420505,2.7466169571766517,-1.081094206682712,2.3397115511421416
633,ML41DQ,2018,6251.75,S08000023,274217.0,660264.0,S01011522,S02002163,1.0,S99999999,S12000044,106.0,6.9260817299135455,0.20968458662634096,6.105767410671266,6.181559105466126,1.0739638434299754,4.784188837552514,0.6321462757821298,0.0,0.050077053480858995,19.80762437877063,0.4529010603855395,0.16877277191376186,-0.66244401147121,-0.6497440239556165,-0.327946074244272,-0.17523182990932348,0.2046887521262802,-0.16048307229420505,-0.23730816606640165,-0.3833333697855193,-0.22117267789064157
634,ML41PS,2018,7918.75,S08000023,274016.0,660236.0,S01011522,S02002163,1.0,S99999999,S12000044,106.0,6.81727674975602,0.020458230956115073,6.318508248654216,6.3840166285373385,1.1430963021990266,5.04068968849261,0.16232592210028365,0.009822083023989276,0.07064453910924968,19.577685605065383,0.3702491519695175,-1.2842057418183284,-0.5306457998000109,-0.5249752138367189,-0.09284860113086607,0.10071553080004615,-1.3105991152793175,-0.15014695568879438,-0.009082221071542143,-0.49569206403091504,-2.908760095725184
635,ML41QD,2018,9268.75,S08000023,274123.0,660221.0,S01011522,S02002163,1.0,S99999999,S12000044,106.0,6.64919176069806,0.04483419633146002,6.279757614172788,6.33130175987016,1.1504414237169456,5.490051364252145,0.7473019949080232,0.0,0.16487387294569714,20.41312249977679,0.2425661626282839,-1.0970343839152155,-0.5546527764303549,-0.5574618872850763,-0.06787018231977768,0.5841453828855762,0.5760946792777404,-0.16048307229420505,1.0365282706345371,-0.08745905007855746,0.04020976904606477
636,ML52RY,2018,3267.25,S08000023,271459.0,668942.0,S01011692,S02002192,6.0,S99999999,S12000044,-61.0,4.95710343886778,0.27307051578114266,7.872644725793545,7.926955378232097,1.5186718391716882,5.364403665519063,0.9361347488424038,0.0,0.02105580933433816,20.97633958641418,-1.0428008197033884,0.6554829493024538,0.4321801922474456,0.4258940300690286,1.1843641767402946,0.44897175395793804,1.185127427142299,-0.16048307229420505,-0.5593407659639567,0.18775480538191133,0.503879748552231
637,ML53AP,2018,35957.0,S08000023,273289.0,664803.0,S01011601,S02002176,1.0,S99999999,S12000044,-41.0,6.299423173847297,0.2465193456102477,6.187529611568909,6.23798557357376,1.1316076326745992,5.207631248637382,0.8703522916617189,0.0008837011204567641,0.09270765949598446,19.994402967125467,-0.02312977486774493,0.45160923606566206,-0.6117903054748357,-0.6149699973933873,-0.13191790696375835,0.2803136987820032,0.9729625890869407,-0.15955312313748704,0.23573995071824747,-0.29206473352041706,0.8626588804722309
638,ML53BJ,2018,13101.25,S08000023,273399.0,665020.0,S01011601,S02002176,1.0,S99999999,S12000044,-41.0,5.675646826348333,0.20127919075848488,6.351935260298466,6.39573580253555,1.2655624985715592,5.671424083712009,0.8534178559819954,0.0,0.060320732798183514,20.063066257907934,-0.4969711879255183,0.10423176465211313,-0.5099369392070224,-0.5177530203950907,0.3236199264124042,0.7792688027736411,0.918344808640114,-0.16048307229420505,-0.12363975590383121,-0.25851268150852136,-0.27627046322641813
639,ML54BY,2018,2031.0,S08000023,273039.0,664167.0,S01011573,S02002171,1.0,S99999999,S12000044,-22.0,6.7332624932009075,0.18077914856343344,6.511260981484862,6.54779090878493,1.5197915232357866,5.846532771643694,0.7721680450766591,0.0,0.023223062093729152,21.600324890505405,0.306429107809958,-0.05317823637290649,-0.4112307137136636,-0.42404578545789107,1.1881718656152738,0.9676532860801469,0.6562938955006047,-0.16048307229420505,-0.5352919678759704,0.49266281574591764,-0.21027605869041033
640,ML66DB,2018,47635.5,S08000023,276285.0,665404.0,S01011643,S02002185,1.0,S99999999,S12000044,-57.0,5.940740222596638,0.13741640823682713,6.667449251185432,6.731942914984138,1.231499694478907,5.066391765626984,0.6585491415348694,0.0006500884973396841,0.11536124614289017,19.767190235955702,-0.2955973622358716,-0.38613994124717443,-0.31446821702647926,-0.31055814446565533,0.20778317892896966,0.12836620066716334,0.2898445820649674,-0.15979896175513428,0.4871141980825582,-0.40309135760292336,-0.3751356295563102
