,pcstrip,Year,Number_of_Patients,HB,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
43,CF313NW,2018,15022.0,7A3,290528.0,179358.0,W01001036,W02000234,C1,W99999999,W06000013,-9,8.047102870831495,0.00829538637914165,9.438113990701694,9.509817058843678,1.6714836803092685,6.196990616463573,0.3314906730571872,0.000843691093704646,0.02201272869560185,25.766023976978047,0.5739555190299421,-0.7272159877824678,0.5044138005562203,0.5050333888742427,0.34322565125267246,0.3368171051703949,-0.39045491136219473,-0.16515197494261719,-0.24455678915015813,0.2428267718773658,-0.448390755333253
44,CF314XX,2018,0.0,7A3,289589.0,180318.0,W01001026,W02000229,C1,W99999999,W06000013,-72,1.298701298701299,0.0,0.0,0.0,1.298701298701299,0.0,0.0,0.0,0.0,2.597402597402598,-1.961920521088663,-0.784571317585345,-2.6309153727774146,-2.632893165401615,-0.19842275647983135,-2.52699669337128,-1.2461363737166191,-0.16523956233555795,-0.5519779495798715,-2.3429531191002004,-7.342738889707673
45,CF327BL,2018,4315.0,7A3,293302.0,190561.0,W01001034,W02000220,D1,W99999999,W06000013,-27,6.566043889310489,0.009069786891287266,12.278724439019108,12.32403143654493,1.776321455477542,8.486561245974976,0.475410468281576,0.04317572534419285,0.07536466335522791,29.680614007824992,0.017411581165848053,-0.7218616866392069,1.4480608912207578,1.4336314860375778,0.4955537031986218,1.394895835209254,-0.01895275202961787,-0.16075729477407574,0.5005354659281283,0.6797223478959146,1.0500067996886537
46,CF327NA,2018,3145.0,7A3,293710.0,192299.0,W01001025,W02000220,D1,W99999999,W06000013,30,8.431562096381132,0.03187759553628199,10.098054903976386,10.149164321054615,1.2765998318533418,6.564068448593555,0.5387054016164333,0.18633435730790274,0.05666061498019632,27.17831205234326,0.7184254246888211,-0.5641656701879582,0.7236453122867489,0.7159969372875713,-0.2305359273735621,0.5064546963585703,0.14443133542026648,-0.1458953489218236,0.23932204092759377,0.4004479805681045,1.108114719214471
47,CF328NN,2018,7569.0,7A3,290291.0,191927.0,W01001042,W02000221,D1,W99999999,W06000013,39,7.319785936133889,0.005798021246010841,9.976117495311216,10.03416203165776,1.8146445615282873,6.1286455609800345,0.22827922187236263,0.0,0.00527396339048809,25.53131533341834,0.3006484894232306,-0.7444830799108209,0.683137863967597,0.6780499678066686,0.5512367247035909,0.30523282094768467,-0.6568760588021925,-0.16523956233555795,-0.47832383936083184,0.21663164870571547,-1.066224083179504
48,CF328UN,2018,0.0,7A3,290097.0,186386.0,W01000975,W02000221,E1,W99999999,W06000013,90,1.4879475814349763,0.0,0.7375147256099637,0.7375147256099637,0.21759259259259262,0.6693121693121693,0.0,0.0,0.0,3.1123670689497023,-1.8908066270892643,-0.784571317585345,-2.3859139416391417,-2.389537585863014,-1.7692609670295576,-2.2176876198807185,-1.2461363737166191,-0.16523956233555795,-0.5519779495798715,-2.285479489000299,-7.028269416169673
49,CF329BL,2018,4395.0,7A3,289306.0,183847.0,W01000974,W02000223,C1,W99999999,W06000013,-11,10.211096532472869,0.0,8.94291639098476,8.978558444568433,1.952616012980523,5.9224921950975835,0.43569748898980043,0.0,0.0986780739426149,27.500460674109213,1.3871287747810326,-0.784571317585345,0.3399098029898732,0.32973553586540805,0.7517076178538915,0.20996321504228022,-0.1214644151223986,-0.16523956233555795,0.8261214409999441,0.4364020157444438,1.4717104566030832
50,CF329SW,2018,10537.0,7A3,290305.0,183702.0,W01000987,W02000224,C1,W99999999,W06000013,-105,8.816823208155705,0.009367467475776646,7.984117685028583,8.033805887086974,1.7383824077207592,5.956080355757957,0.6131029061906423,0.003747740330470118,0.018134031241340824,25.171309972718284,0.8631966586019514,-0.7198034861746412,0.021398121831904836,0.0179982943393793,0.44042871386916516,0.22548530373340464,0.3364746436752674,-0.16485049244088426,-0.2987251609514669,0.17645253717847656,0.034290457049605816
51,CF334LD,2018,10799.0,7A3,281791.0,181559.0,W01000999,W02000227,C1,W99999999,W06000013,-79,7.446906244734241,0.023314779329224832,8.545730002133116,8.575358753445215,1.7369138948105352,6.1725049675625705,0.49427524244864823,0.00041014030899970877,0.019373819893042456,24.449684022639435,0.3484170374781383,-0.6233700429742687,0.20796500200055917,0.19669291163587216,0.4382949819150784,0.32550155807199466,0.02974315062548199,-0.1651969838128341,-0.2814107574868089,0.09591404332720099,-0.4951246845344192
52,CF336BY,2018,8505.0,7A3,283294.0,182673.0,W01001050,W02000225,C1,W99999999,W06000013,62,8.0191144662115,0.0049450814338835095,8.447944141806152,8.472782554497988,1.376781917376629,6.0869455144672395,0.5295497228980489,0.0,0.03572561630513294,24.490119256885293,0.5634381951987544,-0.7503804115106576,0.1754806665788101,0.16284614292081484,-0.08497253762067605,0.28596198837842024,0.12079765522546079,-0.16523956233555795,-0.05304796350390507,0.10042689775591042,-0.1215859440050906
