,pcstrip,Year,NUMBER_OF_PATIENTS,SHA,PCT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
45,B139HD,2015,9753.0,Q54,13P,408025.0,283133.0,E01009385,E02001918,A1,E12000005,E08000025,-23.0,5.959530483586071,0.026266279081275917,8.338974052900289,8.446523780467514,1.73899422992842,5.53271966019945,0.5082595698466686,0.45144172998415505,0.04730658627972758,22.663735733093556,,,,,,,,,,,0.0
46,B139LH,2015,3454.0,Q54,04X,409254.0,282699.0,E01009395,E02001923,A1,E12000005,E08000025,-68.0,0.992801832829636,0.01873087647791394,7.1635259435193674,7.327618690005682,3.8378989847337603,4.671683015682444,0.1549616206608511,0.0,0.06548062581539074,17.003695020390285,,,,,,,,,,,0.0
47,B13AL,2015,5730.25,Q54,05L,405860.0,287514.0,E01033619,E02006898,A1,E12000005,E08000025,-124.0,3.8382490903194104,0.001249375312343828,8.256112902096175,8.42511616109935,3.2502592878812426,6.351111572640062,0.33177224795041116,0.2525905512442786,0.04222253254671556,22.4503482864471,,,,,,,,,,,0.0
48,B144DU,2015,9540.25,Q54,13P,409675.0,280082.0,E01008937,E02001941,A1,E12000005,E08000025,-20.0,4.524131460126333,0.0,7.7198775223209095,7.797924667706958,1.5242512067825826,5.6116235975367,0.6370370887189651,0.0,0.020591147696339376,20.09496802087154,,,,,,,,,,,0.0
49,B144JU,2015,7147.75,Q54,13P,409072.0,279668.0,E01008939,E02001937,A1,E12000005,E08000025,-42.0,5.93699034828368,0.021864173490348523,6.992295912137329,7.106298635883214,1.5929033546610734,4.844468837721718,0.7757278755133763,0.781080284915788,0.0446239263249503,21.0593335104692,,,,,,,,,,,0.0
50,B145DJ,2015,6233.75,Q54,13P,407939.0,279088.0,E01008947,E02001948,A1,E12000005,E08000025,-17.0,4.619657118656671,0.05809670884157273,8.500475911058416,8.724176091015098,2.328934287245907,7.523565757020738,0.7946704998603208,0.16242160788340118,0.11578483341471439,24.21152207052371,,,,,,,,,,,0.0
51,B145NG,2015,2202.75,Q54,04X,407738.0,278608.0,E01008978,E02001947,A1,E12000005,E08000025,38.0,6.735391516003246,0.05084633992550735,9.264763600418888,9.282535111138259,2.399039201797437,6.841907273733174,1.3189935328957467,0.0,0.02411441310571361,26.628712975493368,,,,,,,,,,,0.0
52,B145SB,2015,3922.25,Q54,04X,406977.0,278593.0,E01008980,E02001947,A1,E12000005,E08000025,-58.0,6.218419348342241,0.009831770598234384,7.645200077904414,7.707198952239062,2.035685652476849,6.2434101977098875,0.9684024420029381,0.0,0.18015180177933354,23.182948363369217,,,,,,,,,,,0.0
53,B146AA,2015,11021.0,Q54,04X,407372.0,281038.0,E01008981,E02001936,A1,E12000005,E08000025,-52.0,4.696055812781917,0.0006202704379109291,7.815966809077229,7.930707905758876,1.8285303663123749,5.229741524268417,0.5307443644794428,0.2846188119799594,0.056832405813435294,20.5010190560189,,,,,,,,,,,0.0
54,B147AG,2015,4332.25,Q54,13P,407553.0,282043.0,E01009178,E02001930,A1,E12000005,E08000025,-32.0,5.666577691447624,0.008561998005301044,5.820522656565937,5.9172808244763395,1.581828425898645,4.3290522971050835,0.790810275503556,0.0,0.04364245708957718,18.294111512436547,,,,,,,,,,,0.0
55,B147NH,2015,2228.5,Q54,04X,406442.0,281072.0,E01008963,E02001933,A1,E12000005,E08000025,-92.0,5.6222205936751015,0.0,5.796347167274118,5.96065983595025,2.074313868668457,4.495950615205061,1.1221574243261596,0.0,0.0,19.27530233782503,,,,,,,,,,,0.0
